Bitflip  Model      Top1   Top5   RAD
D1       alexnet    0.10   0.64   0.9982350864807624
D1       dense      0.08   0.52   0.9989637305699482
D1       inception  0.04   0.58   0.9994279176201372
D1       resnet     0.08   0.50   0.999003239471717
D1       vgg        0.08   0.52   0.9988922736084187
D3       alexnet    0.12   0.74   0.997882103776915
D3       dense      0.08   0.46   0.9989637305699482
D3       inception  0.08   0.60   0.9988558352402747
D3       resnet     0.08   0.26   0.999003239471717
D3       vgg        0.04   0.52   0.9994461368042092
B1       alexnet    56.64  79.78  0.00035298270384744127
B1       dense      77.20  93.58  0.0
B1       inception  69.86  88.82  0.0008581235697940828
B1       resnet     80.24  94.94  0.00024919013207089745
B1       vgg        72.22  90.90  0.0
B2       alexnet    56.64  79.80  0.00035298270384744127
B2       dense      77.20  93.58  0.0
B2       inception  69.86  88.78  0.0008581235697940828
B2       resnet     80.24  94.94  0.00024919013207089745
B2       vgg        72.22  90.90  0.0
